🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 15000/118890 (13%) | inserted=6246 | alreadyHadAudio=8754 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=17369
⏳ 15200/118890 (13%) | inserted=6308 | alreadyHadAudio=8892 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=17599
⏳ 15400/118890 (13%) | inserted=6374 | alreadyHadAudio=9026 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=17803
⏳ 15600/118890 (13%) | inserted=6385 | alreadyHadAudio=9215 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=18038
⏳ 15800/118890 (13%) | inserted=6420 | alreadyHadAudio=9380 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=18266
⏳ 16000/118890 (13%) | inserted=6477 | alreadyHadAudio=9523 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=18506
⏳ 16200/118890 (14%) | inserted=6544 | alreadyHadAudio=9656 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=18728
⏳ 16400/118890 (14%) | inserted=6544 | alreadyHadAudio=9856 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=18956
⏳ 16600/118890 (14%) | inserted=6546 | alreadyHadAudio=10054 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=19173
⏳ 16800/118890 (14%) | inserted=6713 | alreadyHadAudio=10087 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=19380
⏳ 17000/118890 (14%) | inserted=6879 | alreadyHadAudio=10121 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=19616
⏳ 17200/118890 (14%) | inserted=6914 | alreadyHadAudio=10286 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=19835
⏳ 17400/118890 (15%) | inserted=7095 | alreadyHadAudio=10305 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=20063
⏳ 17600/118890 (15%) | inserted=7122 | alreadyHadAudio=10478 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=20286
⏳ 17800/118890 (15%) | inserted=7301 | alreadyHadAudio=10499 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=20496
⏳ 18000/118890 (15%) | inserted=7319 | alreadyHadAudio=10681 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=20739
⏳ 18200/118890 (15%) | inserted=7324 | alreadyHadAudio=10876 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=20963
⏳ 18400/118890 (15%) | inserted=7509 | alreadyHadAudio=10891 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=21172
⏳ 18600/118890 (16%) | inserted=7707 | alreadyHadAudio=10893 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=21388
⏳ 18800/118890 (16%) | inserted=7714 | alreadyHadAudio=11086 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=21597
⏳ 19000/118890 (16%) | inserted=7729 | alreadyHadAudio=11271 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=21815
⏳ 19200/118890 (16%) | inserted=7807 | alreadyHadAudio=11393 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=22025
⏳ 19400/118890 (16%) | inserted=7827 | alreadyHadAudio=11573 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=22257
⏳ 19600/118890 (16%) | inserted=8003 | alreadyHadAudio=11597 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=22474
⏳ 19800/118890 (17%) | inserted=8203 | alreadyHadAudio=11597 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=22683
⏳ 20000/118890 (17%) | inserted=8221 | alreadyHadAudio=11779 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=22913
⏳ 20200/118890 (17%) | inserted=8360 | alreadyHadAudio=11840 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=23132
⏳ 20400/118890 (17%) | inserted=8560 | alreadyHadAudio=11840 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=23346
⏳ 20600/118890 (17%) | inserted=8608 | alreadyHadAudio=11992 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=23559
⏳ 20800/118890 (17%) | inserted=8633 | alreadyHadAudio=12167 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=23768
⏳ 21000/118890 (18%) | inserted=8684 | alreadyHadAudio=12316 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=23978
⏳ 21200/118890 (18%) | inserted=8724 | alreadyHadAudio=12476 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=24204
⏳ 21400/118890 (18%) | inserted=8724 | alreadyHadAudio=12676 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=24414
⏳ 21600/118890 (18%) | inserted=8806 | alreadyHadAudio=12794 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=24619
⏳ 21800/118890 (18%) | inserted=9006 | alreadyHadAudio=12794 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=24824
⏳ 22000/118890 (19%) | inserted=9042 | alreadyHadAudio=12958 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=25036
⏳ 22200/118890 (19%) | inserted=9167 | alreadyHadAudio=13033 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=25255
⏳ 22400/118890 (19%) | inserted=9196 | alreadyHadAudio=13204 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=25468
⏳ 22600/118890 (19%) | inserted=9203 | alreadyHadAudio=13397 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=25670
⏳ 22800/118890 (19%) | inserted=9203 | alreadyHadAudio=13597 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=25881
⏳ 23000/118890 (19%) | inserted=9203 | alreadyHadAudio=13797 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=26186
