🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 24800/118890 (21%) | inserted=21932 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 25000/118890 (21%) | inserted=22132 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 25200/118890 (21%) | inserted=22332 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 25400/118890 (21%) | inserted=22532 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 25600/118890 (22%) | inserted=22732 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 25800/118890 (22%) | inserted=22932 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 26000/118890 (22%) | inserted=22932 | alreadyHadAudio=3068 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 26200/118890 (22%) | inserted=23055 | alreadyHadAudio=3145 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 26400/118890 (22%) | inserted=23134 | alreadyHadAudio=3266 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 26600/118890 (22%) | inserted=23334 | alreadyHadAudio=3266 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 26800/118890 (23%) | inserted=23534 | alreadyHadAudio=3266 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 27000/118890 (23%) | inserted=23734 | alreadyHadAudio=3266 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 27200/118890 (23%) | inserted=23934 | alreadyHadAudio=3266 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 27400/118890 (23%) | inserted=24039 | alreadyHadAudio=3361 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 27600/118890 (23%) | inserted=24239 | alreadyHadAudio=3361 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 27800/118890 (23%) | inserted=24371 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 28000/118890 (24%) | inserted=24571 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 28200/118890 (24%) | inserted=24771 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 28400/118890 (24%) | inserted=24971 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 28600/118890 (24%) | inserted=25171 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 28800/118890 (24%) | inserted=25371 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 29000/118890 (24%) | inserted=25571 | alreadyHadAudio=3429 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 29200/118890 (25%) | inserted=25695 | alreadyHadAudio=3505 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 29400/118890 (25%) | inserted=25895 | alreadyHadAudio=3505 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 29600/118890 (25%) | inserted=25962 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 29800/118890 (25%) | inserted=26162 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 30000/118890 (25%) | inserted=26362 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 30200/118890 (25%) | inserted=26562 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 30400/118890 (26%) | inserted=26762 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 30600/118890 (26%) | inserted=26962 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 30800/118890 (26%) | inserted=27162 | alreadyHadAudio=3638 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 31000/118890 (26%) | inserted=27247 | alreadyHadAudio=3753 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 31200/118890 (26%) | inserted=27447 | alreadyHadAudio=3753 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 31400/118890 (26%) | inserted=27542 | alreadyHadAudio=3858 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 31600/118890 (27%) | inserted=27542 | alreadyHadAudio=4058 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 31800/118890 (27%) | inserted=27555 | alreadyHadAudio=4245 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 32000/118890 (27%) | inserted=27755 | alreadyHadAudio=4245 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 32200/118890 (27%) | inserted=27870 | alreadyHadAudio=4330 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 32400/118890 (27%) | inserted=28070 | alreadyHadAudio=4330 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 32600/118890 (27%) | inserted=28136 | alreadyHadAudio=4464 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 32800/118890 (28%) | inserted=28336 | alreadyHadAudio=4464 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 33000/118890 (28%) | inserted=28536 | alreadyHadAudio=4464 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 33200/118890 (28%) | inserted=28554 | alreadyHadAudio=4646 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 33400/118890 (28%) | inserted=28633 | alreadyHadAudio=4767 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 33600/118890 (28%) | inserted=28715 | alreadyHadAudio=4885 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 33800/118890 (28%) | inserted=28907 | alreadyHadAudio=4893 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 34000/118890 (29%) | inserted=29055 | alreadyHadAudio=4945 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 34200/118890 (29%) | inserted=29255 | alreadyHadAudio=4945 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 34400/118890 (29%) | inserted=29455 | alreadyHadAudio=4945 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 34600/118890 (29%) | inserted=29517 | alreadyHadAudio=5083 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 34800/118890 (29%) | inserted=29562 | alreadyHadAudio=5238 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 35000/118890 (29%) | inserted=29762 | alreadyHadAudio=5238 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 35200/118890 (30%) | inserted=29962 | alreadyHadAudio=5238 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 35400/118890 (30%) | inserted=30074 | alreadyHadAudio=5326 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 35600/118890 (30%) | inserted=30216 | alreadyHadAudio=5384 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 35800/118890 (30%) | inserted=30416 | alreadyHadAudio=5384 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 36000/118890 (30%) | inserted=30616 | alreadyHadAudio=5384 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 36200/118890 (30%) | inserted=30775 | alreadyHadAudio=5425 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 36400/118890 (31%) | inserted=30942 | alreadyHadAudio=5458 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 36600/118890 (31%) | inserted=31142 | alreadyHadAudio=5458 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 36800/118890 (31%) | inserted=31342 | alreadyHadAudio=5458 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 37000/118890 (31%) | inserted=31542 | alreadyHadAudio=5458 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 37200/118890 (31%) | inserted=31581 | alreadyHadAudio=5619 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 37400/118890 (31%) | inserted=31781 | alreadyHadAudio=5619 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 37600/118890 (32%) | inserted=31840 | alreadyHadAudio=5760 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 37800/118890 (32%) | inserted=32036 | alreadyHadAudio=5764 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 38000/118890 (32%) | inserted=32069 | alreadyHadAudio=5931 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 38200/118890 (32%) | inserted=32190 | alreadyHadAudio=6010 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 38400/118890 (32%) | inserted=32390 | alreadyHadAudio=6010 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 38600/118890 (32%) | inserted=32590 | alreadyHadAudio=6010 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 38800/118890 (33%) | inserted=32790 | alreadyHadAudio=6010 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 39000/118890 (33%) | inserted=32990 | alreadyHadAudio=6010 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 39200/118890 (33%) | inserted=33149 | alreadyHadAudio=6051 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 39400/118890 (33%) | inserted=33349 | alreadyHadAudio=6051 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 39600/118890 (33%) | inserted=33549 | alreadyHadAudio=6051 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 39800/118890 (33%) | inserted=33749 | alreadyHadAudio=6051 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
