🚀 Starting projects + audio migration: Thu Dec 11 23:13:44 -05 2025
\n=== (1/3) Migrating projects to DB ===
🚀 Starting Projects Migration

==================================================
📦 Found 120091 legacy projects to process

📋 Loading legacy users mapping...
   Found 48404 legacy users with Supabase IDs

📋 Loading existing migrated projects...
   Found 1 already migrated projects

📋 120090 projects to migrate (1 already done)


⏳ Progress: 38200/120090 (32%) - Migrated: 38026, Skipped: 174, Failed: 0
⏳ Progress: 38400/120090 (32%) - Migrated: 38226, Skipped: 174, Failed: 0
⏳ Progress: 38600/120090 (32%) - Migrated: 38426, Skipped: 174, Failed: 0
⏳ Progress: 38800/120090 (32%) - Migrated: 38626, Skipped: 174, Failed: 0
⏳ Progress: 39000/120090 (32%) - Migrated: 38826, Skipped: 174, Failed: 0
⏳ Progress: 39200/120090 (33%) - Migrated: 39026, Skipped: 174, Failed: 0
⏳ Progress: 39400/120090 (33%) - Migrated: 39225, Skipped: 175, Failed: 0
⏳ Progress: 39600/120090 (33%) - Migrated: 39425, Skipped: 175, Failed: 0
⏳ Progress: 39800/120090 (33%) - Migrated: 39625, Skipped: 175, Failed: 0
⏳ Progress: 40000/120090 (33%) - Migrated: 39825, Skipped: 175, Failed: 0
⏳ Progress: 40200/120090 (33%) - Migrated: 40025, Skipped: 175, Failed: 0
⏳ Progress: 40400/120090 (34%) - Migrated: 40225, Skipped: 175, Failed: 0
⏳ Progress: 40600/120090 (34%) - Migrated: 40425, Skipped: 175, Failed: 0
⏳ Progress: 40800/120090 (34%) - Migrated: 40625, Skipped: 175, Failed: 0
⏳ Progress: 41000/120090 (34%) - Migrated: 40825, Skipped: 175, Failed: 0
⏳ Progress: 41200/120090 (34%) - Migrated: 41025, Skipped: 175, Failed: 0
⏳ Progress: 41400/120090 (34%) - Migrated: 41225, Skipped: 175, Failed: 0
⏳ Progress: 41600/120090 (35%) - Migrated: 41425, Skipped: 175, Failed: 0
⏳ Progress: 41800/120090 (35%) - Migrated: 41623, Skipped: 177, Failed: 0
⏳ Progress: 42000/120090 (35%) - Migrated: 41822, Skipped: 178, Failed: 0
⏳ Progress: 42200/120090 (35%) - Migrated: 42022, Skipped: 178, Failed: 0
⏳ Progress: 42400/120090 (35%) - Migrated: 42222, Skipped: 178, Failed: 0
⏳ Progress: 42600/120090 (35%) - Migrated: 42422, Skipped: 178, Failed: 0
⏳ Progress: 42800/120090 (36%) - Migrated: 42622, Skipped: 178, Failed: 0
⏳ Progress: 43000/120090 (36%) - Migrated: 42822, Skipped: 178, Failed: 0
⏳ Progress: 43200/120090 (36%) - Migrated: 43022, Skipped: 178, Failed: 0
⏳ Progress: 43400/120090 (36%) - Migrated: 43222, Skipped: 178, Failed: 0
⏳ Progress: 43600/120090 (36%) - Migrated: 43422, Skipped: 178, Failed: 0
⏳ Progress: 43800/120090 (36%) - Migrated: 43622, Skipped: 178, Failed: 0
⏳ Progress: 44000/120090 (37%) - Migrated: 43822, Skipped: 178, Failed: 0
⏳ Progress: 44200/120090 (37%) - Migrated: 44022, Skipped: 178, Failed: 0
⏳ Progress: 44400/120090 (37%) - Migrated: 44222, Skipped: 178, Failed: 0
⏳ Progress: 44600/120090 (37%) - Migrated: 44422, Skipped: 178, Failed: 0
⏳ Progress: 44800/120090 (37%) - Migrated: 44622, Skipped: 178, Failed: 0
⏳ Progress: 45000/120090 (37%) - Migrated: 44822, Skipped: 178, Failed: 0
⏳ Progress: 45200/120090 (38%) - Migrated: 45020, Skipped: 180, Failed: 0
⏳ Progress: 45400/120090 (38%) - Migrated: 45220, Skipped: 180, Failed: 0
⏳ Progress: 45600/120090 (38%) - Migrated: 45420, Skipped: 180, Failed: 0
⏳ Progress: 45800/120090 (38%) - Migrated: 45620, Skipped: 180, Failed: 0
⏳ Progress: 46000/120090 (38%) - Migrated: 45820, Skipped: 180, Failed: 0
⏳ Progress: 46200/120090 (38%) - Migrated: 46020, Skipped: 180, Failed: 0
⏳ Progress: 46400/120090 (39%) - Migrated: 46220, Skipped: 180, Failed: 0
⏳ Progress: 46600/120090 (39%) - Migrated: 46420, Skipped: 180, Failed: 0
⏳ Progress: 46800/120090 (39%) - Migrated: 46620, Skipped: 180, Failed: 0
⏳ Progress: 47000/120090 (39%) - Migrated: 46820, Skipped: 180, Failed: 0
⏳ Progress: 47200/120090 (39%) - Migrated: 47020, Skipped: 180, Failed: 0
⏳ Progress: 47400/120090 (39%) - Migrated: 47220, Skipped: 180, Failed: 0
⏳ Progress: 47600/120090 (40%) - Migrated: 47419, Skipped: 181, Failed: 0
⏳ Progress: 47800/120090 (40%) - Migrated: 47618, Skipped: 182, Failed: 0
⏳ Progress: 48000/120090 (40%) - Migrated: 47818, Skipped: 182, Failed: 0
⏳ Progress: 48200/120090 (40%) - Migrated: 48018, Skipped: 182, Failed: 0
⏳ Progress: 48400/120090 (40%) - Migrated: 48218, Skipped: 182, Failed: 0
⏳ Progress: 48600/120090 (40%) - Migrated: 48418, Skipped: 182, Failed: 0
⏳ Progress: 48800/120090 (41%) - Migrated: 48618, Skipped: 182, Failed: 0
⏳ Progress: 49000/120090 (41%) - Migrated: 48818, Skipped: 182, Failed: 0
⏳ Progress: 49200/120090 (41%) - Migrated: 49011, Skipped: 189, Failed: 0
⏳ Progress: 49400/120090 (41%) - Migrated: 49210, Skipped: 190, Failed: 0
⏳ Progress: 49600/120090 (41%) - Migrated: 49410, Skipped: 190, Failed: 0
⏳ Progress: 49800/120090 (41%) - Migrated: 49608, Skipped: 192, Failed: 0
⏳ Progress: 50000/120090 (42%) - Migrated: 49808, Skipped: 192, Failed: 0
⏳ Progress: 50200/120090 (42%) - Migrated: 50008, Skipped: 192, Failed: 0
⏳ Progress: 50400/120090 (42%) - Migrated: 50208, Skipped: 192, Failed: 0
⏳ Progress: 50600/120090 (42%) - Migrated: 50408, Skipped: 192, Failed: 0
⏳ Progress: 50800/120090 (42%) - Migrated: 50608, Skipped: 192, Failed: 0
⏳ Progress: 51000/120090 (42%) - Migrated: 50808, Skipped: 192, Failed: 0
